"director";"title";"country";"description";"release_year";"duration";"listed_in";"cast"
"Kirsten Johnson";"Dick Johnson Is Dead";"United States";"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.";2020;90;"Documentaries";NA
"Zoya Akhtar";"Dil Dhadakne Do";"India";"While hosting a shipboard holiday for relatives and friends, a wealthy but dysfunctional family must face the ugly truths under their flawless facade.";2015;174;"Comedies, Dramas, International Movies";"Anil Kapoor, Priyanka Chopra, Ranveer Singh, Anushka Sharma, Farhan Akhtar, Shefali Shah, Rahul Bose, Parmeet Sethi, Vikrant Massey, Zarina Wahab, Aamir Khan"
"Fajar Bustomi, Pidi Baiq";"Dilan 1990";"Indonesia";"At a Bandung high school, charming and rebellious Dilan vies for the affections of shy new student Milea.";2018;109;"Dramas, International Movies, Romantic Movies";"Vanesha Prescilla, Iqbaal Ramadhan, Debo Andryos, Giulio Parengkuan, Omara Esteghlal, Yoriko Angeline, Zulfa Maharani, Brandon Salim"
"Fajar Bustomi, Pidi Baiq";"Dilan 1991";"Indonesia";"Dilan's involvement in the motorbike gang imperils his relationship with Milea, whose distant relative returns from Belgium.";2019;118;"Dramas, International Movies, Romantic Movies";"Iqbaal Ramadhan, Vanesha Prescilla, Ira Wibowo, Bucek Depp, Happy Salma, Farhan, Maudy Koesnaedi, Jerome Kurnia"
"Houda Benyamina";"Divines";"France, Qatar";"A shrewd teenager and her wisecracking best friend plan to get rich or die trying by following in the footsteps of a flashy female drug dealer.";2016;107;"Dramas, Independent Movies, International Movies";"Déborah Lukumuena, Jisca Kalvanda, Kévin Mischel, Majdouline Idrissi, Oulaya Amamra, Yasin Houicha"
"Deepti Naval";"Do Paise Ki Dhoop Chaar Aane Ki Baarish";"India";"When a sex worker hires a gay songwriter to care for her disabled son, the ensuing bonds that form offer a complex portrayal of love and family.";2009;121;"Dramas, Independent Movies, International Movies";"Manisha Koirala, Rajit Kapoor, Sanaj Naval, Rajendra Gupta, Suhaas Khandke, Nassar Abdulla, Saurabh Dubey, Usha Jadhav, Ashwin Kaushal, Milind Soman"
"Debbie Allen";"Dolly Parton’s Christmas on the Square";"United States";"Seasonal cheer comes to a screeching halt when a cold-hearted woman tries to sell her hometown's land. Can music, magic and memories change her mind?";2020;99;"Children & Family Movies, Music & Musicals";"Dolly Parton, Christine Baranski, Treat Williams, Jenifer Lewis, Josh Segarra, Jeanine Mason, Mary Lane Haskell"
"Mahin Ibrahim, Austin Kolodney, Will Lowell, David Beier, Dave Dorsey, Xu Zhang, Alana Waksman, Jon YonKondy, Drue Metz, Brandon Somerhalder";"Don Quixote: The Ingenious Gentleman of La Mancha";"United States";"In this modern adaptation of a Spanish classic, an eccentric, elderly gentleman sets out with his honest sidekick to right the wrongs of the world.";2015;83;"Comedies, Independent Movies";"Carmen Argenziano, Horatio Sanz, Luis Guzman, Vera Cherny, Lorena McGregor, Reinaldo Zavarce, Jacquie Barnbrook, Anthony Skordi, Lin Shaye, James Franco"
"Elaine Bogan, John Sanford";"Dragons: Dawn of the Dragon Racers";"United States";"The ""How to Train Your Dragon"" adventure continues when a hunt for lost sheep turns into a fierce, fun-filled competition.";2014;27;"Children & Family Movies, Comedies";"Jay Baruchel, America Ferrera, Zack Pearlman, Christopher Mintz-Plasse, T.J. Miller, Andree Vermeulen"
"Olivia Milch";"Dude";"United States";"Four best friends navigate loss and major life changes – and smoke a lot of weed – during their last two weeks of high school.";2018;97;"Comedies, Dramas, Independent Movies";"Lucy Hale, Kathryn Prescott, Alexandra Shipp, Awkwafina, Alex Wolff, Brooke Smith, Jerry MacKinnon, Ronen Rubenstein, Satya Bhabha, Sydney Lucas"
"Afia Nathaniel";"Dukhtar";"Pakistan, Norway, United States";"A young mother embarks on a desperate quest for freedom when she kidnaps her 10-year-old daughter to save her from a tribal marriage.";2014;93;"Dramas, Independent Movies, International Movies";"Samiya Mumtaz, Mohib Mirza, Saleha Aref, Asif Khan, Adnan Shah, Ajab Gul, Abdullah Jan, Samina Ahmad, Omair Rana, Zeeshan Shafa"
"Anne Fletcher";"Dumplin'";"United States";"To prove a point about measuring up and fitting in, Texas teen Willowdean Dickson enters a local pageant run by her ex-beauty queen mom.";2018;110;"Comedies, Dramas, Independent Movies";"Danielle Macdonald, Jennifer Aniston, Odeya Rush, Maddie Baillio, Bex Taylor-Klaus, Luke Benward, Georgie Flores, Dove Cameron, Harold Perrineau, Kathy Najimy, Ginger Minj, Hilliary Begley"
"Shagufta Rafique";"Dushman";NA;"An Indian hotel waiter forms an unlikely bond with a Pakistani colleague when the establishment’s criminal owner threatens to ruin both their lives.";2017;141;"Dramas, International Movies";"Kartar Cheema, Jashan Singh, Sakshi Gulati, Gulshan Grover, Savita Bhatti, Yashpal Sharma, Mohit Sharma, Sukhwinder Sohi"
"Emma Hatherley";"E-Cigarettes: Miracle or Menace?";"United Kingdom";"This documentary investigates the surge in vaping culture and whether e-cigarettes can really help smokers kick the habit.";2016;52;"Documentaries";"Michael Mosley"
"Katy Chevigny, Ross Kauffman";"E-Team";"United States";"The courageous investigators of Human Rights Watch's Emergencies Team risk their lives to document unlawful attacks on civilians by brutal dictators.";2014;90;"Documentaries";NA
"Naya Anindita";"Eggnoid: Love & Time Portal";"Indonesia";"Sent from the future to look after a lonely girl, Eggy finds himself falling for her. But dating is forbidden and would risk both their fates.";2019;102;"Dramas, International Movies, Romantic Movies";"Morgan Oey, Sheila Dara, Luna Maya, Kevin Julio, Anggika Bolsterli, Reza Nangin, Martin Anugrah, Fatih Unru"
"Harjit Singh";"Eh Janam Tumhare Lekhe";"India";"Driven by the lessons he learned from his mother, and the values of the Sikh religion, a man sets out on a mission to serve humanity.";2015;124;"Dramas, International Movies";"Pavan Malhotra, Sudhanshu Aggarwal, Arjuna Bhalla, Avrinder Kaur, Arvinder Bhatti, Master Yuvraj, Jai Bharti, Gagandeep Singh"
"Sumitra Bhave, Sunil Sukthankar";"Ek Cup Chya";"India";"A poor bus conductor's efforts at obtaining information about his enormous electricity bill are hindered by a corrupt system.";2009;120;"Dramas, Independent Movies, International Movies";"Kishore Kadam, Ashwini Giri, Kamal Desai, Devika Daftardar, Sunil Sukthankar, Shriram Ranade, Padmanabh Bind"
"Shakun Batra";"Ek Main Aur Ekk Tu";"India";"Bollywood stars Imran Khan and Kareena Kapoor pair up to play exceptionally dissimilar lovers in this lighthearted romantic comedy.";2012;106;"Comedies, International Movies, Romantic Movies";"Kareena Kapoor, Imran Khan, Boman Irani, Ram Kapoor, Ratna Pathak Shah, Zenobia Shroff, Soniya Mehra, Akshat Verma, Dana Lewis, Rajesh Khattar"
"Lorena Munoz";"El Potro: Unstoppable";NA;"Argentine cuarteto singer Rodrigo ""El Potro"" Bueno rises to fame amid personal struggles in this dramatization of the charismatic superstar's life.";2018;122;"Dramas, International Movies, Music & Musicals";"Jimena Barón, Rodrigo Romero, Diego Cremonesi, Daniel Aráoz, Malena Sánchez, Julieta Vallina, Florencia Peña, Simja Dujov, Adan Otero, Fernán Mirás"
"Gabriela García Rivas";"El silencio es bienvenido";"Mexico";"As a teen languishes during a spiritless road trip, she learns of the troubles in her parents' marriage as a crisis in her country looms.";2017;95;"Dramas, Independent Movies, International Movies";"Eileen Yáñez, Jorge Luis Moreno, Daniela Newton, Andrea Newton, Luis Eduardo Yee, Enrique Medina, Roberto Fiesco"
"Kate Horne";"El testigo";"Colombia, Peru, United Kingdom";"Colombian photojournalist Jesús Abad Colorado shares the stories behind a series of civil war photographs he captured throughout the '80s and '90s.";2018;73;"Documentaries, International Movies";"Jesús Abad Colorado"
"Petra Costa";"Elena";"Brazil, United States";"In this documentary, the director remembers a sister who left behind her life under Brazil’s dictatorship and moved to New York with dreams of acting.";2012;81;"Documentaries, International Movies";NA
"Isabel Coixet";"Elisa & Marcela";"Spain";"In 1901 Spain, Elisa Sánchez Loriga adopts a male identity in order to marry the woman she loves, Marcela Gracia Ibeas. Based on true events.";2019;119;"Dramas, International Movies, LGBTQ Movies";"Natalia de Molina, Greta Fernández, Sara Casasnovas, Tamar Novas, Kelly Lua, Manuel Lourenzo, Jorge Suquet, Ana Santos, Mariana Carballal, Roberto Leal, Luisa Merelas, Amparo Moreno, Lluís Homar, Manolo Solo, María Pujalte, Francesc Orella"
"Jennifer Westcott";"Elliot the Littlest Reindeer";"Canada";"When Blitzen suddenly retires, a miniature horse determined to join Santa's reindeer team faces fierce competition in the North Pole tryouts.";2018;90;"Children & Family Movies";"Josh Hutcherson, Samantha Bee, Martin Short, Morena Baccarin, Jeff Dunham, John Cleese"
"Kim Nguyen";"Empire of Scents";"Canada, France, Italy, Morocco, United States";"This documentary explores the extent to which our sense of smell directs our survival instincts and enriches our sensual experiences.";2014;87;"Documentaries, International Movies";NA
"Jenny Carchman";"Enlighten Us";"United States";"This documentary digs deep to recount the saga of the superstar self-help guru convicted of negligent homicide in the deaths of three followers.";2016;93;"Documentaries";"James Arthur Ray"
"Valeria Golino";"Euphoria";"Italy";"An entrepreneur prone to partying and his estranged brother, a teacher resigned to a humdrum life, begin to bond under fragile circumstances.";2018;110;"Dramas, International Movies, LGBTQ Movies";"Riccardo Scamarcio, Valerio Mastandrea, Isabella Ferrari, Valentina Cervi, Jasmine Trinca, Andrea Germani, Marzia Ubaldi, Iaia Forte"
"Mae Czarina Cruz";"Everyday I Love You";"Philippines";"While patiently waiting for her boyfriend to come out of his coma, Audrey finds herself falling for the caring and successful Ethan.";2015;124;"Dramas, International Movies, Romantic Movies";"Enrique Gil, Liza Soberano, Gerald Anderson, Aiko Melendez, Carmina Villaroel, Ariel Rivera, Marissa Delgado, Liza Lorena"
"Selima Taibi";"Expedition Happiness";"Germany";"A filmmaker and his musician girlfriend attempt an epic road trip with their dog, traveling across North America in a refurbished school bus.";2017;96;"Documentaries, International Movies";"Selima Taibi, Felix Starck"
"Leslye Davis, Catrin Einhorn";"Father Soldier Son";"United States";"After a single father is severely wounded in Afghanistan, he and his sons embark on a journey of sacrifice and a search for redemption.";2020;100;"Documentaries";NA
"Elissa Down";"Feel the Beat";"United States";"After blowing a Broadway audition, a self-centered dancer reluctantly returns home and agrees to coach a squad of young misfits for a big competition.";2020;110;"Children & Family Movies, Comedies, Dramas";"Sofia Carson, Wolfgang Novogratz, Donna Lynne Champlin, Eva Hauge, Rex Lee, Brandon Kyle Goodman, Lidya Jewett, Sadie Lapidus, Johanna Colón, Shaylee Mansfield, Shiloh Nelson, Justin Allan, Carina Battrick, Kai Zen, Marissa Jaret Winokur, Enrico Colantoni, Dennis Andres"
"Johanna Demetrakas";"Feminists: What Were They Thinking?";"United States";"Revisiting 1970s photos of women that captured a feminist awakening, this film explores those women's lives and examines the continued need for change.";2018;86;"Documentaries, LGBTQ Movies";NA
"Anna Wieczur-Bluszcz";"Fierce";"Poland";"A gifted young singer becomes an instant sensation on a popular talent show. But her real goal is earning the love of her father, a member of the jury.";2020;118;"Comedies, Dramas, International Movies";"Katarzyna Sawczuk, Maciej Zakoscielny, Anita Sokolowska, Julia Kaminska, Tomasz Karolak, Maria Pakulnis, Barbara Wypych, Wojciech Solarz, Adrian Majewski, Michal Piprowski, Urszula Dudziak, Krzysztof Ibisz"
"Marla M. Ancheta";"Finding Agnes";"Philippines";"On an emotional journey in Morocco, an entrepreneur pieces together the turbulent life of his estranged mother and meets her adopted daughter.";2020;106;"Dramas, International Movies";"Jelson Bay, Sue Ramirez, Sandy Andolong, Roxanne Guinoo, Cheska Iñigo, Hannah Ledesma, Yuan Francisco, Raffa Esplana, Varoon Kessop"
"Drea Cooper, Zackary Canepari";"Fire in Paradise";"United States";"In this documentary, survivors recall the catastrophic 2018 Camp Fire, which razed the town of Paradise and became California’s deadliest wildfire.";2019;40;"Documentaries";NA
"Olivia Newman";"First Match";"United States";"A tenacious high school girl raised in foster homes in the inner city tries to reconnect with her ex-con father by joining a boys wrestling team.";2018;103;"Dramas, Independent Movies, Sports Movies";"Elvire Emanuelle, Yahya Abdul-Mateen II, Colman Domingo, Jharrel Jerome, Kim Ramirez, Jared Kemp, Allen Maldonado"
"Angelina Jolie";"First They Killed My Father";"Cambodia, United States";"A 5-year-old girl embarks on a harrowing quest for survival amid the sudden rise and terrifying reign of the Khmer Rouge in Cambodia.";2017;137;"Dramas";"Sreymoch Sareum, Kompheak Phoeung, Socheata Sveng, Dara Heng, Sothea Khoun, Sreyneang Oun, Kimhak Mun, Chenda Run, Nika Sarun, Nita Sarun"
"Maris Curran";"Five Nights in Maine";"United States";"After his wife dies in a car accident, a grief-stricken man visits his estranged mother-in-law in Maine, where they try to help each other heal.";2015;83;"Dramas, Independent Movies";"David Oyelowo, Dianne Wiest, Rosie Perez, Teyonah Parris, Hani Furstenberg, Bill Raymond"
"Kang Cheng, Shan Hua";"Flying Guillotine 2";"Hong Kong";"The emperor's reign of terror expands. Heroic outlaw Ma Teng joins a squad of female rebels, whose leader is torn between family loyalties.";1978;88;"Action & Adventure, International Movies";"Feng Ku, Chung Wang, Szu Shih, Lung Ti, Lo Lieh, Szu-Chia Chen"
"Mercedes Cordova";"Food on the Go";"Argentina, Italy";"Epicureans and experts trace the migration of Italian cuisine and its evolution in the Americas, delving into the ideas of origin, diaspora and heritage.";2017;66;"Documentaries, International Movies";NA
"Rucha Humnabadkar";"For Here or to Go?";"United States, India";"A software engineer must decide if he'd rather navigate America's frustrating visa renewal process or simply return to his home country of India.";2015;105;"Comedies, Dramas, Independent Movies";"Ali Fazal, Melanie Chandra, Rajit Kapoor, Amitosh Nagpal, Omi Vaidya, Samrat Chakrabarti, Keith Stevenson"
"Maya Zinshtein";"Forever Pure";"United Kingdom, Israel, Russia";"The furor over the addition of two Muslim players to the Beitar Jerusalem soccer club underscores the role of institutionalized racism in Israel.";2016;87;"Documentaries, International Movies, Sports Movies";NA
"Krysia Plonka";"Fortune Feimster: Sweet & Salty";"United States";"Actor, comedian and writer Fortune Feimster takes the stage and riffs on her southern roots, sexual awakenings, showbiz career and more.";2020;61;"Stand-Up Comedy";"Fortune Feimster"
"Cathy Garcia-Molina";"Four Sisters and a Wedding";"Philippines";"Four sisters unite to stop their young brother's pending nuptials upon meeting his fiancée’s demanding family, revealing long-simmering family issues.";2013;125;"Comedies, Dramas, International Movies";"Bea Alonzo, Toni Gonzaga, Angel Locsin, Shaina Magdayao, Enchong Dee, Sam Milby, Angeline Quinto, Coney Reyes"
"Trudie Styler";"Freak Show";"United States";"Forced to attend a new high school, a glamorous teen navigates hostile territory before taking a stand by running for homecoming queen.";2018;91;"Comedies, Dramas, Independent Movies";"Alex Lawther, Abigail Breslin, AnnaSophia Robb, Ian Nelson, Celia Weston, Laverne Cox, Bette Midler, Willa Fitzgerald, Larry Pine, John McEnroe, Mickey Sumner, Daniel Bellomy, Wally Dunn, Marceline Hugot"
"Alethea Jones";"Fun Mom Dinner";"United States";"Four preschool moms with little in common need a night out to take a break from their kids. But one thing leads to another, and things get rowdy.";2017;82;"Comedies, International Movies";"Katie Aselton, Toni Collette, Bridget Everett, Molly Shannon, Adam Scott, Rob Huebel, Adam Levine, Paul Rust"
"Deepa Mehta";"Funny Boy";"Canada, United States";"A student must navigate issues of sexuality, identity and family amid Sri Lanka's social turmoil of the 1970s and 1980s.";2020;109;"Dramas, LGBTQ Movies";"Brandon Ingram, Nimmi Harasgama, Ali Kazmi, Arush Nand, Agam Darshi, Rehan Mudannayake, Shivantha Wijesinha, Seema Biswas, Hidaayath Hazeer"
"Le Van Kiet";"Furie";"Vietnam";"When traffickers kidnap her daughter from their village, vengeful Hai Phuong returns to Saigon – and her outlaw roots – to take down the abductors.";2019;97;"Action & Adventure, Dramas, International Movies";"Ngo Thanh Van, Phan Thanh Nhien, Mai Cat Vi, Thanh Hoa, Pham Anh Khoa"
"Riki Lindhome, Jeremy Konner";"Garfunkel and Oates: Trying to be Special";"United States";"Garfunkel and Oates put on a surprise-filled show in Seattle in hopes of raising enough money to make their own comedy special.";2016;62;"Music & Musicals, Stand-Up Comedy";"Riki Lindhome, Kate Micucci, Anthony Jeselnik, Steve Agee"
"Yen Cheng-kuo";"Gatao 2: Rise of the King";"Taiwan";"When a zealous gang leader plans to take out a friend-turned-rival for control of his turf, internal tensions complicate the battle to be the boss.";2018;126;"Action & Adventure, Dramas, International Movies";"Collin Chou, Jason Wang, Jack Kao, Tsai Chen-nan, Lu Hsueh-feng, Peng Sun"
"Karen J. Lloyd";"Ghost Patrol";"Canada";"Two kids and their pet dog (aka the Ghost Patrol) get a call about an old manor and soon find they are investigating their first real haunted house.";2016;47;"Children & Family Movies, Comedies";"Scott McNeil, Vincent Tong, Travis Turner, Shannon Chan-Kent, Lili Beaudoin"
"Sally Potter";"Ginger & Rosa";"United Kingdom, Denmark, Canada, Croatia";"With the Cold War looming over them, teen best pals Ginger and Rosa share everything in early 1960s London – until betrayal drives them apart.";2012;90;"Dramas, Independent Movies";"Elle Fanning, Alessandro Nivola, Christina Hendricks, Alice Englert, Timothy Spall, Oliver Platt, Annette Bening, Jodhi May, Oliver Milburn, Andrew Hawley"
"Wendy Jo Carlton";"Good Kisser";"United States";"Hoping to give their relationship a boost, Jenna and Kate arrange to spend an evening with a third woman, but things take a turn once the sparks fly.";2019;75;"Comedies, Dramas, Independent Movies";"Kari Alison Hodge, Rachel Paulson, Julia Eringer"
"Kate Melville";"Good Sam";"United States";"A curious reporter finds love while pursuing the story of a mysterious figure who's leaving bags of cash for strangers around New York City.";2019;90;"Children & Family Movies, Dramas";"Tiya Sircar, Chad Connell, Marco Grazzini, Jesse Camacho, Mark Camacho, Elana Dunkelman, Kelly Hope Taylor, Kenny Wong, Daniela Sandiford, Christina Tannous"
"Nanette Burstein";"Gringo: The Dangerous Life of John McAfee";"United States";"Tech tycoon John McAfee made millions from his anti-virus software. Now, he may be best known for his bizarre and scandalous lifestyle.";2016;97;"Documentaries";NA
"Miranda de Pencier";"Grizzlies";"Canada";"A group of disaffected students form an unlikely bond through the game of lacrosse when a new teacher introduces the sport to their remote Arctic town.";2018;106;"Dramas, Independent Movies, Sports Movies";"Ben Schnetzer, Emerald MacDonald, Booboo Stewart, Will Sasso, Paul Nutarariaq, Ricky Marty-Pahtaykan, Tantoo Cardinal, Eric Schweig"
"Ruchi Narain";"Guilty";"India";"When a college heartthrob is accused of rape by a less popular student, his girlfriend navigates various versions of the story in search of the truth.";2020;120;"Dramas, International Movies";"Kiara Advani, Akansha Ranjan Kapoor, Gurfateh Pirzada, Taher Shabbir, Niki Walia, Manu Rishi Chadha, Dalip Tahil, Kunal Vijaykar"
"Dani de la Torre";"Gun City";"Spain, France";"In 1921 Barcelona, amid unrest between anarchists and the police, a cop plays both sides to learn who stole army weapons that could ignite a civil war.";2018;126;"Dramas, International Movies, Thrillers";"Luis Tosar, Michelle Jenner, Vicente Romero, Manolo Solo, Paco Tous, Adriana Torrebejano, Pep Tosar, Jaime Lorente, Ernesto Alterio, Fernando Cayo"
"Anjali Nayar";"Gun Runners";"Canada";"Two roaming Kenyan bandits attempt to change the course of their lives by exchanging their rifles for running shoes.";2015;90;"Documentaries, International Movies, Sports Movies";NA
"Sharan Sharma";"Gunjan Saxena: The Kargil Girl";"India";"Flight Lieutenant Gunjan Saxena makes history in her journey from aspiring aviator to India’s first female combat pilot in the Kargil War.";2020;113;"Action & Adventure, Dramas, International Movies";"Janhvi Kapoor, Pankaj Tripathi, Angad Bedi, Viineet Kumar, Manav Vij, Ayesha Raza Mishra"
"Nila Madhab Panda";"Halkaa";"India";"Up against a corrupt government official and crushing poverty, a young boy in the Delhi slums attempts to raise funds to build himself his own toilet.";2018;111;"Comedies, Dramas, Independent Movies";"Tathastu, Aryan Preet, Ranvir Shorey, Paoli Dam, Kumud Mishra, Devender Chaudhary, Shrikant Verma"
"Madeleine Parry";"Hannah Gadsby: Douglas";"Australia";"Hannah Gadsby returns for her second special and digs deep into the complexities of popularity, identity and her most unusual dog park encounter.";2020;73;"Stand-Up Comedy";"Hannah Gadsby"
"Madeleine Parry, Jon Olb";"Hannah Gadsby: Nanette";"Australia";"Australian comic Hannah Gadsby reshapes standard stand-up by pairing punchlines with personal revelations on gender, sexuality and childhood turmoil.";2018;70;"Stand-Up Comedy";"Hannah Gadsby"
"Alice Rohrwacher";"Happy as Lazzaro";"Italy, Switzerland, France, Germany";"Purehearted teen Lazzaro is content living as a sharecropper in rural Italy, but an unlikely friendship with the marquise's son will change his world.";2018;127;"Dramas, Independent Movies, International Movies";"Adriano Tardiolo, Agnese Graziani, Alba Rohrwacher, Luca Chikovani, Tommaso Ragno, Sergi López, Natalino Balasso, Carlo Tarmati, Pasqualina Scuncia, Nicoletta Braschi"
"Amarpreet G S Chabbra";"Happy Go Lucky";"India";"Three sisters seem to be ideal brides for three brothers. But when the girls' father won't allow the marriages, the boys use trickery to pull it off.";2014;129;"Comedies, International Movies, Music & Musicals";"Amrinder Gill, Harish Verma, Sumeet Sandhu, Gurpreet Guggi, B.N. Sharma, Praneet Bhatt, Kuldeep Sharma"
"Elle Callahan";"Head Count";"United States";"A group of college students on a weekend getaway accidentally summon a supernatural entity intent on using them for its deadly ritual.";2018;90;"Horror Movies, Independent Movies";"Isaac Jay, Ashleigh Morghan, Bevin Bru, Billy Meade, Hunter Peterson, Chelcie May, Tory Freeth, Michael Herman, Amaka Obiechie, Sam Marra, Cooper Rowe"
"Ana Kokkinos";"Head On";"Australia";"This edgy drama follows 19-year-old Ari, a gay Greek-Australian whose roiling ethnic- and sexual-identity struggles lead to a wild, 24-hour odyssey.";1998;104;"Dramas, Independent Movies, LGBTQ Movies";"Alex Dimitriades, Paul Capsis, Julian Garner, Tony Nikolakopoulos, Elena Mandalis, Eugenia Fragos, Damien Fotiou, Andrea Mandalis, Maria Mercedes, Dora Kaskanis, Alex Papps, Vassili Zappa"
"Cathy Garcia-Molina";"Hello, Love, Goodbye";"Philippines";"In Hong Kong, the lives of two overseas Filipino workers intertwine as they navigate daily duties, career aspirations and romantic possibilities.";2019;117;"Dramas, International Movies, Romantic Movies";"Kathryn Bernardo, Alden Richards, Maymay Entrata, Maricel Laxa, Joross Gamboa, Jameson Blake, Kaka Bautista, Lito Pimentel, Jeffrey Tam, Lovely Abella"
"Christel Gibson";"Her Only Choice";"United States";"A woman must decide if she’s willing to end her pregnancy to save her own life after being diagnosed with breast cancer.";2018;87;"Dramas";"Denise Boutte, Timon Kyle Durrett, Leon, Tamara Tunie, Vanessa Bell Calloway, Tiffany Snow, Keith Arthur Bolden, Elise Neal, Jeryl Prescott"
"Elaine McMillion Sheldon";"Heroin(e)";"United States";"This documentary follows three women – a fire chief, a judge and a street missionary – as they battle West Virginia's devastating opioid epidemic.";2017;40;"Documentaries";NA
"Raymie Muzquiz, Stu Livingston";"Hey Arnold! The Jungle Movie";"United States, South Korea, Japan";"When Arnold and his crew win a trip to San Lorenzo, their adventure in the wild forces them to take the same risky path as Arnold's missing parents.";2017;81;"Children & Family Movies, Comedies";"Mason Vale Cotton, Benjamin Flores Jr., Francesca Smith, Alfred Molina, Dan Castellaneta, Tress MacNeille, Craig Bartlett, Carlos Alazraqui"
"Stacia Crawford";"Hidden in Plain Sight";"United States";"A woman stages her own suicide but still lives in fear of her abusive ex-boyfriend tracking her down and stealing the son he never knew he had.";2019;87;"Dramas, Independent Movies, Thrillers";"Victoria Barabas, Gino Anthony Pesi, Jake Allyn, Deborah Van Valkenburgh, Jessica Meraz, Jack Fisher, Eve Sigall, Jerod Meagher"
"Lucy van Beek";"Hiroshima: The Real History";"United Kingdom";"This detailed examination of the 1945 Hiroshima bombing includes the prelude to and aftermath of history's controversial first use of atomic weapons.";2015;95;"Documentaries";"John Sessions"
"Remi Weekes";"His House";"United Kingdom";"As a young couple from war-torn South Sudan seeks asylum and a fresh start in England, they’re tormented by a sinister force living in their new home.";2020;93;"Horror Movies, Independent Movies";"<U+1E62><U+1ECD>p<U+1EB9>´ Dìrísù, Wunmi Mosaku, Matt Smith, Malaika Wakoli-Abigaba"
"Jennifer Lynch";"Hisss";"India, United States";"In a plot to bait the snake-goddess Nagin for her immortality-granting essence, George States journeys to India and abducts her reptilian lover.";2010;97;"Horror Movies, International Movies, Thrillers";"Mallika Sherawat, Irrfan Khan, Jeff Doucette, Divya Dutta, Raman Trikha, Mahmoud Babai, Raj Bhansali, Sunny Charles, Tony Ciccone, Parvez Khan"
"Kaila York";"Home Is Where the Killer Is";"United States";"Recovering from cancer, a young woman thinks she’s found a friend when she rents a room from a caring ex-doctor. But empathy soon becomes obsession.";2019;87;"Dramas, Thrillers";"Stacy Haiduk, Kelly Kruger, Christopher Sean, Anne Leighton, Beth Littleford, John-Paul Lavoisier, Kristoff St. John, Pallavi Sastry"
"Bille Woodruff";"Honey 2";"United States";"Determined to prove herself as a street dancer, Maria heads from juvie to a Bronx rec center where she's introduced to her dance idol, Honey Daniels.";2011;111;"Dramas, Romantic Movies";"Kat Graham, Mario Lopez, Audrina Patridge, Seychelle Gabriel, Randy Wayne, Brandon Molale, Melissa Molinaro, Jossara Jinaro, Lonette McKee, Laurieann Gibson, Christopher Shazar"
"Bille Woodruff";"Honey: Rise Up and Dance";"United States";"Despite discouragement from her loved ones, a talented street dancer tries out for an exclusive dance crew in a bid to win a college scholarship.";2018;100;"Dramas";"Teyana Taylor, Sierra Aylina McClain, Bryshere Gray"
"Reema Kagti";"Honeymoon Travels Pvt. Ltd.";"India";"This offbeat comedy-drama follows six quirky newlywed couples as they set off on a bus from Mumbai to Goa on their honeymoons.";2007;119;"Comedies, Dramas, International Movies";"Shabana Azmi, Boman Irani, Abhay Deol, Minissha Lamba, Kay Kay Menon, Raima Sen, Sandhya Mridul, Vikram Chatwal, Ameesha Patel, Karan Khanna, Diya Mirza, Ranvir Shorey"
"Rebecca Johnson";"Honeytrap";"United Kingdom";"New to London, a naive and desperate teenager tries to fit in but instead becomes tragically implicated in a merciless world of gang violence.";2014;94;"Dramas, Independent Movies";"Jessica Sula, Lucien Laviscount, Ntonga Mwanza, Naomi Ryan, Danielle Vitalis, Lauren Johns, Tosin Cole, Savannah Gordon-Liburd, Modupe Adeyeye"
"Jill Bauer, Ronna Gradus";"Hot Girls Wanted";"United States";"This 2015 Sundance Film Festival breakout documentary from producer Rashida Jones spotlights the ""amateur"" porn industry and the women it exploits.";2015;83;"Documentaries";NA
"Joanna Lombardi, Bruno Ascenzo";"How to Get Over a Breakup";"Peru";"A heartbroken ad copywriter living in Lima, Peru, is inspired to write a blog about life as a single woman and is surprised by her website's success.";2018;104;"Comedies, International Movies, Romantic Movies";"Gisela Ponce de León, Karina Jordán, Jely Reátegui, Andrés Salas, Christopher Von Uckermann, Carlos Carlín"
"Taika Waititi";"Hunt for the Wilderpeople";"New Zealand";"A misadventure in the wilderness leads to life-changing discoveries for a troubled orphan teen from the city and his belligerent foster father.";2016;101;"Action & Adventure, Comedies, Dramas";"Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House, Tioreore Ngatai-Melbourne, Oscar Kightley, Stan Walker, Mike Minogue, Cohen Holloway, Rhys Darby"
"Mary Mazzio";"I Am Jane Doe";"United States";"This intense documentary follows real cases of American girls enslaved in the child sex trade through ads in a newspaper's online classified section.";2017;98;"Documentaries";"Jessica Chastain"
"Nila Madhab Panda";"I Am Kalam";"India";"An intelligent boy born into poverty befriends the son of a once noble family and is inspired by the life of India's president to pursue an education.";2010;87;"Children & Family Movies, Comedies, Dramas";"Gulshan Grover, Harsh Mayar, Pitobash, Hussan Saad, Beatrice Ordeix, Sanjay Chauhan"
"Laura VanZee Taylor";"I Am Maris";"United States";"Through her own words and art, a young woman details the healing power of yoga in her struggle with anorexia and her journey to self-acceptance.";2018;54;"Documentaries";"Maris Degener"
